x, y, theta, stamp, ,
1.09E-06,-1.28E-06,1.26E-05,1740706193, 554651594), 
1.09E-06,-1.28E-06,1.26E-05,1740706193, 605305160), 
1.09E-06,-1.28E-06,1.26E-05,1740706193, 644495962), 
1.09E-06,-1.28E-06,1.26E-05,1740706193, 694904178), 
1.09E-06,-1.28E-06,1.26E-05,1740706193, 844624804), 
1.09E-06,-1.28E-06,1.26E-05,1740706193, 954817747), 
0.005309105,0.000221886,0.001373534,1740706194, 45553789), 
0.011888116,0.000290401,0.005757591,1740706194, 94449108), 
0.020842977,0.000359962,0.010558337,1740706194, 144710484), 
0.031217685,0.000651627,0.016771218,1740706194, 194524914), 
0.043535765,0.001143376,0.024465139,1740706194, 243998996), 
0.05528168,0.001623386,0.03237699,1740706194, 284984270), 
0.093894653,0.003857316,0.052077394,1740706194, 404425724), 
0.12169484,0.005833131,0.068252353,1740706194, 494419631), 
0.151666462,0.008636689,0.088117231,1740706194, 594722790), 
0.185695529,0.012534242,0.110385775,1740706194, 704872183), 
0.21637319,0.01664738,0.12828045,1740706194, 804422286), 
0.243831754,0.021107506,0.150260563,1740706194, 894423949), 
0.273949474,0.026555987,0.176893539,1740706194, 994735354), 
0.306576937,0.033540413,0.213006241,1740706195, 104428846), 
0.336604238,0.041092049,0.247205347,1740706195, 204465587), 
0.363068223,0.048686359,0.282012285,1740706195, 294429339), 
0.392115772,0.058234274,0.32401152,1740706195, 394432907), 
0.417985827,0.067780711,0.362915955,1740706195, 484853865), 
0.451213747,0.081930988,0.415871935,1740706195, 604469470), 
0.475849867,0.093656003,0.460191143,1740706195, 695484621), 
0.505695283,0.109756403,0.517434768,1740706195, 804504848), 
0.52611649,0.122162081,0.556197616,1740706195, 884055918), 
0.556439281,0.142274275,0.623954284,1740706196, 4468147), 
0.578361988,0.158967957,0.66988151,1740706196, 95448684), 
0.601656675,0.178722456,0.721942273,1740706196, 194439820), 
0.625939608,0.201618135,0.774645096,1740706196, 304527183), 
0.647055984,0.223496139,0.824743394,1740706196, 404436315), 
0.665458024,0.244538695,0.868239693,1740706196, 495473219), 
0.683945358,0.267938048,0.910520305,1740706196, 594471746), 
0.703461111,0.295145541,0.957566525,1740706196, 706102491), 
0.719524562,0.320008129,0.997018076,1740706196, 803473963), 
0.733746111,0.344122797,1.024459496,1740706196, 894475614), 
0.748288572,0.370303899,1.056586366,1740706196, 993470392), 
0.763958573,0.400655895,1.093702129,1740706197, 104843059), 
0.777036369,0.428191423,1.125228856,1740706197, 202451536), 
0.788313091,0.454039305,1.152571134,1740706197, 294502985), 
0.799759746,0.481843084,1.175168535,1740706197, 392530524), 
0.812092364,0.514105141,1.195638003,1740706197, 504758800), 
0.822264731,0.54208988,1.213586944,1740706197, 601484426), 
0.831720293,0.568950117,1.227044132,1740706197, 694481992), 
0.841791928,0.598172486,1.236272316,1740706197, 796548405), 
0.852771342,0.630531311,1.24367219,1740706197, 904599221), 
0.861870408,0.658851862,1.248325362,1740706198, 1456452), 
0.870347977,0.686154068,1.252513396,1740706198, 94530687), 
0.879805803,0.715783358,1.253804059,1740706198, 195566584), 
0.890210688,0.747849822,1.254649778,1740706198, 304514605), 
0.899319708,0.776074052,1.251279442,1740706198, 400498156), 
0.908773124,0.803328454,1.247668774,1740706198, 494478974), 
0.918523014,0.832630396,1.241568279,1740706198, 594563519), 
0.929542422,0.864656448,1.236024067,1740706198, 704497898), 
0.939260364,0.893718183,1.227810665,1740706198, 805709602), 
0.948503017,0.919754624,1.221091222,1740706198, 895494139), 
0.959329069,0.948780894,1.212430071,1740706198, 994487274), 
0.97126925,0.980307817,1.204269164,1740706199, 104629362), 
0.9824121,1.009231567,1.195800955,1740706199, 205030787), 
0.992375612,1.034482718,1.188940987,1740706199, 294873376), 
1.00353539,1.062219143,1.180371538,1740706199, 394574708), 
1.016064644,1.091952324,1.171786879,1740706199, 504629707), 
1.027380824,1.118208766,1.163733773,1740706199, 605864530), 
1.037050962,1.140566349,1.154613969,1740706199, 694755367), 
1.04774034,1.165381908,1.147780892,1740706199, 794589066), 
1.059769869,1.192231059,1.140638632,1740706199, 904737182), 
1.070501447,1.215504766,1.134400256,1740706200, 4530495), 
1.080074787,1.236193538,1.129971916,1740706200, 94488768), 
1.090457439,1.258754611,1.125624567,1740706200, 194533220), 
1.101878524,1.282427907,1.125451778,1740706200, 304468032), 
1.112055063,1.303568602,1.12364258,1740706200, 404495938), 
1.121023536,1.322641492,1.122669847,1740706200, 494522772), 
1.130526423,1.342850089,1.121410136,1740706200, 594502145), 
1.141007662,1.364663839,1.120159913,1740706200, 704437764), 
1.150598168,1.384406805,1.120159913,1740706200, 804573282), 
1.158729672,1.401579976,1.119822069,1740706200, 894503444), 
1.167427301,1.420005918,1.120920859,1740706200, 994589434), 
1.17515409,1.436107874,1.122889921,1740706201, 85515671), 
1.185406566,1.457661748,1.12599013,1740706201, 205514153), 
1.192812085,1.473247886,1.128952621,1740706201, 295515678), 
1.200684667,1.490706801,1.131708339,1740706201, 394588846), 
1.209069848,1.509060621,1.136188684,1740706201, 504507025), 
1.216572285,1.525706291,1.139972083,1740706201, 604540237), 
1.222756147,1.539765596,1.142830881,1740706201, 695510649), 
1.229974985,1.556162596,1.147736028,1740706201, 794587504), 
1.237017393,1.572839141,1.150597532,1740706201, 904712200), 
1.243796468,1.588228703,1.154946117,1740706202, 4524972), 
1.249441624,1.601594687,1.155957332,1740706202, 95519641), 
1.255322576,1.615815043,1.163067682,1740706202, 194540150), 
1.261747956,1.631726146,1.167524137,1740706202, 306623459), 
1.267312169,1.645169735,1.174102075,1740706202, 403544375), 
1.27243948,1.658036351,1.176745196,1740706202, 496545541), 
1.27769804,1.671249509,1.181018227,1740706202, 593522422), 
1.282344103,1.683046579,1.18457554,1740706202, 685738047), 
1.288587332,1.698411226,1.187640272,1740706202, 803533363), 
1.292917252,1.709831715,1.190659698,1740706202, 894515253), 
1.297626019,1.721785665,1.193987794,1740706202, 992542802), 
