x, y, theta, stamp, ,
2.06E-08,-2.41E-08,2.38E-07,1740706004, 555495219), 
2.06E-08,-2.41E-08,2.38E-07,1740706004, 596685937), 
2.06E-08,-2.41E-08,2.38E-07,1740706004, 644600620), 
0.000643496,5.31E-05,0.000154971,1740706004, 694494816), 
0.004362362,0.000174715,0.00569081,1740706004, 744469774), 
0.010079609,0.000483928,0.017128703,1740706004, 795561986), 
0.01619124,0.001073175,0.029286748,1740706004, 835216264), 
0.024911633,0.001423642,0.047277448,1740706004, 884799371), 
0.040104408,0.003094134,0.077413816,1740706004, 955753442), 
0.050441157,0.004482847,0.098286036,1740706004, 995669607), 
0.064576596,0.006764216,0.126588093,1740706005, 44623705), 
0.080438711,0.009259374,0.157948815,1740706005, 94510089), 
0.096220866,0.011987118,0.18912291,1740706005, 144302583), 
0.111516066,0.015132121,0.219363182,1740706005, 195568998), 
0.137811869,0.021839056,0.267683827,1740706005, 284795957), 
0.170051694,0.031599484,0.335323414,1740706005, 395592641), 
0.198708221,0.042664614,0.393152142,1740706005, 494118427), 
0.226792082,0.055194728,0.450178947,1740706005, 595945480), 
0.250847459,0.067554146,0.499610767,1740706005, 685638882), 
0.280371606,0.08488372,0.562313684,1740706005, 795492516), 
0.305195361,0.10171371,0.614614921,1740706005, 894661903), 
0.32982409,0.120455384,0.664323643,1740706005, 994603349), 
0.35573414,0.142319649,0.715013435,1740706006, 104342498), 
0.375058919,0.160402983,0.748328784,1740706006, 195504607), 
0.396775544,0.181864575,0.782086721,1740706006, 295485295), 
0.417522162,0.204006121,0.817982828,1740706006, 394761681), 
0.439586252,0.229497567,0.856666449,1740706006, 504435566), 
0.456986606,0.250845969,0.880793499,1740706006, 595496575), 
0.476240128,0.275789589,0.907524985,1740706006, 697505994), 
0.493734956,0.299487859,0.927529314,1740706006, 793666663), 
0.510231614,0.322763741,0.942938521,1740706006, 886342003), 
0.529185057,0.350398123,0.955913543,1740706006, 995513788), 
