x, y, theta, stamp, 
1.091217995963234e-06, -1.2791327890226967e-06, 1.2637289400484863e-05, (1740706193, 554651594), 
1.091217995963234e-06, -1.2791327890226967e-06, 1.2637286672008781e-05, (1740706193, 605305160), 
1.091217995963234e-06, -1.2791327890226967e-06, 1.2637283943532697e-05, (1740706193, 644495962), 
1.091217995963234e-06, -1.2791327890226967e-06, 1.2637281215056613e-05, (1740706193, 694904178), 
1.091217995963234e-06, -1.2791327890226967e-06, 1.2637273029628363e-05, (1740706193, 844624804), 
1.091217995963234e-06, -1.2791327890226967e-06, 1.2637266663184169e-05, (1740706193, 954817747), 
0.005309105385094881, 0.0002218862355221063, 0.001373534314711111, (1740706194, 45553789), 
0.011888115666806698, 0.00029040142544545233, 0.005757590742196162, (1740706194, 94449108), 
0.02084297686815262, 0.0003599617339204997, 0.01055833691315454, (1740706194, 144710484), 
0.031217684969305992, 0.0006516273133456707, 0.016771217975559066, (1740706194, 194524914), 
0.04353576526045799, 0.0011433761101216078, 0.02446513932067893, (1740706194, 243998996), 
0.05528168007731438, 0.0016233864007517695, 0.03237699007692958, (1740706194, 284984270), 
0.09389465302228928, 0.0038573164492845535, 0.0520773936789838, (1740706194, 404425724), 
0.12169484049081802, 0.00583313126116991, 0.0682523529480053, (1740706194, 494419631), 
0.15166646242141724, 0.008636688813567162, 0.08811723055506715, (1740706194, 594722790), 
0.18569552898406982, 0.012534242123365402, 0.11038577479080328, (1740706194, 704872183), 
0.21637319028377533, 0.016647379845380783, 0.1282804502410817, (1740706194, 804422286), 
0.24383175373077393, 0.0211075060069561, 0.1502605634295206, (1740706194, 894423949), 
0.2739494740962982, 0.0265559870749712, 0.17689353935053298, (1740706194, 994735354), 
0.3065769374370575, 0.03354041278362274, 0.21300624130053517, (1740706195, 104428846), 
0.3366042375564575, 0.041092049330472946, 0.24720534657675503, (1740706195, 204465587), 
0.36306822299957275, 0.04868635907769203, 0.28201228492318303, (1740706195, 294429339), 
0.3921157717704773, 0.05823427438735962, 0.3240115195626422, (1740706195, 394432907), 
0.41798582673072815, 0.06778071075677872, 0.36291595475943317, (1740706195, 484853865), 
0.4512137472629547, 0.0819309875369072, 0.41587193491646735, (1740706195, 604469470), 
0.47584986686706543, 0.09365600347518921, 0.46019114300212416, (1740706195, 695484621), 
0.5056952834129333, 0.10975640267133713, 0.5174347678116912, (1740706195, 804504848), 
0.5261164903640747, 0.12216208130121231, 0.5561976156793296, (1740706195, 884055918), 
0.5564392805099487, 0.14227427542209625, 0.6239542844466335, (1740706196, 4468147), 
0.578361988067627, 0.15896795690059662, 0.669881510216736, (1740706196, 95448684), 
0.6016566753387451, 0.17872245609760284, 0.7219422730864531, (1740706196, 194439820), 
0.6259396076202393, 0.20161813497543335, 0.7746450956322656, (1740706196, 304527183), 
0.647055983543396, 0.22349613904953003, 0.8247433943598101, (1740706196, 404436315), 
0.6654580235481262, 0.24453869462013245, 0.8682396933483358, (1740706196, 495473219), 
0.68394535779953, 0.2679380476474762, 0.9105203053799823, (1740706196, 594471746), 
0.7034611105918884, 0.29514554142951965, 0.9575665254435615, (1740706196, 706102491), 
0.7195245623588562, 0.32000812888145447, 0.9970180762568747, (1740706196, 803473963), 
0.7337461113929749, 0.3441227972507477, 1.024459495857235, (1740706196, 894475614), 
0.7482885718345642, 0.3703038990497589, 1.05658636583068, (1740706196, 993470392), 
0.7639585733413696, 0.4006558954715729, 1.0937021289458975, (1740706197, 104843059), 
0.7770363688468933, 0.4281914234161377, 1.1252288562908344, (1740706197, 202451536), 
0.788313090801239, 0.4540393054485321, 1.152571133974957, (1740706197, 294502985), 
0.7997597455978394, 0.48184308409690857, 1.1751685350835988, (1740706197, 392530524), 
0.8120923638343811, 0.5141051411628723, 1.195638003193103, (1740706197, 504758800), 
0.8222647309303284, 0.5420898795127869, 1.213586943848665, (1740706197, 601484426), 
0.8317202925682068, 0.5689501166343689, 1.2270441323522714, (1740706197, 694481992), 
0.8417919278144836, 0.5981724858283997, 1.2362723158184226, (1740706197, 796548405), 
0.8527713418006897, 0.6305313110351562, 1.2436721897364358, (1740706197, 904599221), 
0.8618704080581665, 0.6588518619537354, 1.2483253618800654, (1740706198, 1456452), 
0.8703479766845703, 0.6861540675163269, 1.2525133962281942, (1740706198, 94530687), 
0.8798058032989502, 0.7157833576202393, 1.2538040588390993, (1740706198, 195566584), 
0.8902106881141663, 0.7478498220443726, 1.2546497778697812, (1740706198, 304514605), 
0.8993197083473206, 0.7760740518569946, 1.2512794417554365, (1740706198, 400498156), 
0.9087731242179871, 0.8033284544944763, 1.247668774052481, (1740706198, 494478974), 
0.9185230135917664, 0.8326303958892822, 1.2415682790265614, (1740706198, 594563519), 
0.9295424222946167, 0.8646564483642578, 1.2360240669795515, (1740706198, 704497898), 
0.9392603635787964, 0.8937181830406189, 1.2278106650863423, (1740706198, 805709602), 
0.9485030174255371, 0.9197546243667603, 1.2210912216031957, (1740706198, 895494139), 
0.9593290686607361, 0.94878089427948, 1.2124300708111204, (1740706198, 994487274), 
